Extract Name	Protocol REF	Protocol REF	Assay Name
Extract 1064.H.CV330	DNA Sequencing	metagenomics analysis	1064.H.CV330 (OTU)
Extract 1064.H.CV331	DNA Sequencing	metagenomics analysis	1064.H.CV331 (OTU)
Extract 1064.H.CV332	DNA Sequencing	metagenomics analysis	1064.H.CV332 (OTU)
Extract 1064.H.CV333	DNA Sequencing	metagenomics analysis	1064.H.CV333 (OTU)
Extract 1064.H.CV334	DNA Sequencing	metagenomics analysis	1064.H.CV334 (OTU)
Extract 1064.H.CV335	DNA Sequencing	metagenomics analysis	1064.H.CV335 (OTU)
Extract 1064.H.CV336	DNA Sequencing	metagenomics analysis	1064.H.CV336 (OTU)
Extract 1064.H.CV337	DNA Sequencing	metagenomics analysis	1064.H.CV337 (OTU)
Extract 1064.H.CV338	DNA Sequencing	metagenomics analysis	1064.H.CV338 (OTU)
Extract 1064.H.CV339	DNA Sequencing	metagenomics analysis	1064.H.CV339 (OTU)
Extract 1064.H.CV340	DNA Sequencing	metagenomics analysis	1064.H.CV340 (OTU)
Extract 1064.H.CV341	DNA Sequencing	metagenomics analysis	1064.H.CV341 (OTU)
Extract 1064.H.CV342	DNA Sequencing	metagenomics analysis	1064.H.CV342 (OTU)
Extract 1064.H.CV343	DNA Sequencing	metagenomics analysis	1064.H.CV343 (OTU)
Extract 1064.H.CV344	DNA Sequencing	metagenomics analysis	1064.H.CV344 (OTU)
Extract 1064.H.CV345	DNA Sequencing	metagenomics analysis	1064.H.CV345 (OTU)
Extract 1064.H.CV346	DNA Sequencing	metagenomics analysis	1064.H.CV346 (OTU)
Extract 1064.H.CV43	DNA Sequencing	metagenomics analysis	1064.H.CV43 (OTU)
Extract 1064.H.CV44	DNA Sequencing	metagenomics analysis	1064.H.CV44 (OTU)
Extract 1064.H.CV45	DNA Sequencing	metagenomics analysis	1064.H.CV45 (OTU)
Extract 1064.H.CV46	DNA Sequencing	metagenomics analysis	1064.H.CV46 (OTU)
Extract 1064.H.CV47	DNA Sequencing	metagenomics analysis	1064.H.CV47 (OTU)
